time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
5.72500000,0.00740045,3760,0.00042417,0.00000000,0,0.00000054,8465,8515,188,0.00145897
5.82500000,0.00820108,3730,0.00016233,0.00000000,0,0.00000062,8515,8554,67,0.00137762
5.92500000,0.00834304,3776,0.00040586,0.00000000,0,0.00000048,8554,8573,174,0.00138739
6.02500000,0.01072045,3748,0.00050080,0.00000000,0,0.00000076,8573,8625,130,0.00143705
6.12500000,0.00834417,3743,0.00055756,0.00000000,0,0.00000068,8625,8531,140,0.00137429
6.22500000,0.00836373,3771,0.00015031,0.00000000,0,0.00000049,8531,8521,49,0.00148498
6.32500000,0.00978731,3792,0.00027682,0.00000000,0,0.00000062,8521,8600,137,0.00167889
6.43000000,0.01055754,3772,0.00061894,0.00000000,0,0.00000086,8600,8520,125,0.00219055
6.53000000,0.00712283,3740,0.00032616,0.00000000,0,0.00000046,8520,8563,123,0.00234715
6.63000000,0.00766517,3750,0.00024874,0.00000000,0,0.00000056,8563,8555,89,0.00138672
6.72500000,0.00807724,3727,0.00030109,0.00000000,0,0.00000049,8555,8604,134,0.00222109
6.83000000,0.01085314,3773,0.00038585,0.00000000,0,0.00000064,8604,8659,108,0.00242527
6.92500000,0.01127796,3792,0.00035412,0.00000000,0,0.00000075,8659,8701,121,0.00191498
7.02500000,0.01032225,3759,0.00065353,0.00000000,0,0.00000087,8701,8676,135,0.00138125
7.12500000,0.00827984,3758,0.00016519,0.00000000,0,0.00000051,8676,8684,58,0.00134895
7.22500000,0.00783049,3744,0.00019662,0.00000000,0,0.00000049,8684,8713,90,0.00219998
7.33000000,0.00779838,3769,0.00027331,0.00000000,0,0.00000067,8713,8716,91,0.00233114
7.42500000,0.00723427,3744,0.00029199,0.00000000,0,0.00000049,8716,8702,100,0.00221704
7.52500000,0.01127855,3742,0.00022167,0.00000000,0,0.00000082,8702,8746,55,0.00220943
7.63000000,0.00803182,3764,0.00034750,0.00000000,0,0.00000051,8746,8687,92,0.00138246
7.73000000,0.01016291,3781,0.00035492,0.00000000,0,0.00000076,8687,8716,130,0.00180307
7.82500000,0.00749706,3708,0.00028740,0.00000000,0,0.00000059,8716,8713,79,0.00148281
7.92500000,0.00756415,3729,0.00006745,0.00000000,0,0.00000076,8713,8514,28,0.00220524
8.03000000,0.01034093,3817,0.00041103,0.00000000,0,0.00000087,8139,8182,43,0.00224143
8.13000000,0.00708183,3804,0.00008321,0.00000000,0,0.00000042,7384,7421,37,0.00246956
8.22500000,0.00971827,3773,0.00013732,0.00000000,0,0.00000064,7421,7484,64,0.00220226
8.32500000,0.00754225,3814,0.00005453,0.00000000,0,0.00000051,7484,7509,26,0.00135643
8.42500000,0.00855806,3767,0.00012256,0.00000000,0,0.00000063,7509,7563,54,0.00224803
8.53000000,0.00761018,3799,0.00005716,0.00000000,0,0.00000053,7563,7587,24,0.00173416
8.62500000,0.00829439,3770,0.00017187,0.00000000,0,0.00000049,7587,7652,73,0.00232738
8.72500000,0.00759194,3763,0.00005487,0.00000000,0,0.00000044,7652,7673,24,0.00172759
8.83000000,0.00718867,3796,0.00008623,0.00000000,0,0.00000047,7673,7701,33,0.00141979
8.92500000,0.00971554,3735,0.00023274,0.00000000,0,0.00000066,7701,7798,107,0.00148488
9.03000000,0.00813386,3761,0.00024726,0.00000000,0,0.00000065,7798,7916,121,0.00143173
9.12500000,0.00792718,3780,0.00017038,0.00000000,0,0.00000054,7916,8028,114,0.00145293
9.22500000,0.00699168,3762,0.00010057,0.00000000,0,0.00000060,8028,8065,42,0.00223432
